Institution,Latitude,Longitude
Harvard University,42.377,-71.1167
College of William & Mary,37.2727,-76.7137
St. John's College - Annapolis,38.982,-76.4915
Yale University,41.3163,-72.9223
Washington Colleges,39.218,-76.0692
University of Pennsylvania,39.9522,-75.1932
Moravian College & Moravian Theological Seminary,40.631,-75.3814
University of Delaware,39.678,-75.7506
Princeton University,40.3431,-74.6551
Washington & Lee University,37.7905,-79.445
Columbia University,40.8075,-73.9626
Brown University,41.8268,-71.4025
Rutgers University,40.5008,-74.4474
Dartmouth College,43.7044,-72.2887
College of Charleston,32.7842,-79.9371
Salem College,36.0874,-80.2411
Dickinson College,40.2027,-77.1972
Hampden-Sydney College,37.2404,-78.461
Transylvania University,38.0517,-84.4933
Washington & Jefferson College,40.1704,-80.2387
University of Georgia,33.948,-83.3773
University of Pittsburgh,40.4444,-79.9608
Franklin & Marshall College,40.0487,-76.3199
Georgetown University,38.9076,-77.0723
University of North Carolina at Chapel Hill,35.9049,-79.0469